"path","status","review_basis","last_reviewed"
".codex/skills/wsl2-deploy/references/post-deploy-checklist.md","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
".codex/skills/wsl2-deploy/scripts/run-deploy.ps1","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
".dockerignore","FULLY REVIEWED","本次逐段完整读取或由完整清单核对；结论仍受冻结基线约束","2026-08-24"
".gitattributes","FULLY REVIEWED","本次逐段完整读取或由完整清单核对；结论仍受冻结基线约束","2026-08-24"
".gitignore","FULLY REVIEWED","本次逐段完整读取或由完整清单核对；结论仍受冻结基线约束","2026-08-24"
"AGENTS.md","FULLY REVIEWED","本次逐段完整读取或由完整清单核对；结论仍受冻结基线约束","2026-08-24"
"ARCHITECTURE.md","FULLY REVIEWED","本次逐段完整读取或由完整清单核对；结论仍受冻结基线约束","2026-08-24"
"CLAUDE.md","FULLY REVIEWED","本次逐段完整读取或由完整清单核对；结论仍受冻结基线约束","2026-08-24"
"CONTRIBUTING.md","FULLY REVIEWED","本次逐段完整读取或由完整清单核对；结论仍受冻结基线约束","2026-08-24"
"DEPLOYMENT.md","FULLY REVIEWED","本次逐段完整读取或由完整清单核对；结论仍受冻结基线约束","2026-08-24"
"README.md","FULLY REVIEWED","本次逐段完整读取或由完整清单核对；结论仍受冻结基线约束","2026-08-24"
"aats/__init__.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/api/__init__.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/api/_governance_db.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/api/auth.py","FULLY REVIEWED","本次逐段完整读取或由完整清单核对；结论仍受冻结基线约束","2026-08-24"
"aats/api/auth_routes.py","PARTIALLY REVIEWED","已检查与审计主题相关的关键区段、调用方或测试，但未逐行封板","2026-08-24"
"aats/api/rdp_apply_token.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/api/rdp_control_summary.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/api/rdp_profile_routes.py","PARTIALLY REVIEWED","已检查与审计主题相关的关键区段、调用方或测试，但未逐行封板","2026-08-24"
"aats/api/rdp_routes.py","PARTIALLY REVIEWED","已检查与审计主题相关的关键区段、调用方或测试，但未逐行封板","2026-08-24"
"aats/api/routes.py","PARTIALLY REVIEWED","已检查与审计主题相关的关键区段、调用方或测试，但未逐行封板","2026-08-24"
"aats/api/session_auth.py","FULLY REVIEWED","本次逐段完整读取或由完整清单核对；结论仍受冻结基线约束","2026-08-24"
"aats/api/static/README.md","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/api/static/app.css","PARTIALLY REVIEWED","已检查与审计主题相关的关键区段、调用方或测试，但未逐行封板","2026-08-24"
"aats/api/static/app.js","PARTIALLY REVIEWED","已检查与审计主题相关的关键区段、调用方或测试，但未逐行封板","2026-08-24"
"aats/api/static/dashboard-shell.html","FULLY REVIEWED","本次逐段完整读取或由完整清单核对；结论仍受冻结基线约束","2026-08-24"
"aats/api/static/login.html","FULLY REVIEWED","本次逐段完整读取或由完整清单核对；结论仍受冻结基线约束","2026-08-24"
"aats/api/static/login.js","FULLY REVIEWED","本次逐段完整读取或由完整清单核对；结论仍受冻结基线约束","2026-08-24"
"aats/api/static/modules/action-contract.js","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/api/static/modules/actions/admin-actions.js","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/api/static/modules/actions/execution-actions.js","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/api/static/modules/actions/rdp-actions.js","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/api/static/modules/actions/risk-actions.js","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/api/static/modules/api-client.js","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/api/static/modules/components.js","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/api/static/modules/copy.js","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/api/static/modules/dashboard-refresh.js","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/api/static/modules/detail-drawers.js","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/api/static/modules/dev-self-check.js","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/api/static/modules/exit-execution-helpers.js","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/api/static/modules/flash.js","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/api/static/modules/formatters.js","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/api/static/modules/lifecycle-drawer.js","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/api/static/modules/navigation-state.js","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/api/static/modules/no-trade-display.js","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/api/static/modules/overlay-parent-renderers.js","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/api/static/modules/reconciliation-controls.js","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/api/static/modules/refresh-interactivity.js","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/api/static/modules/report-drawers.js","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/api/static/modules/shadow-drawer.js","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/api/static/modules/shell-renderer.js","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/api/static/modules/store.js","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/api/static/modules/terms.js","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/api/static/modules/trade-display.js","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/api/static/modules/view-router.js","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/api/static/modules/views/admin-view.js","PARTIALLY REVIEWED","已检查与审计主题相关的关键区段、调用方或测试，但未逐行封板","2026-08-24"
"aats/api/static/modules/views/ai-analysis-view.js","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/api/static/modules/views/ai-config-view.js","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/api/static/modules/views/ai-view.js","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/api/static/modules/views/execution-view.js","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/api/static/modules/views/exit-execution-view.js","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/api/static/modules/views/home-view.js","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/api/static/modules/views/overview-view.js","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/api/static/modules/views/protected-auth-view.js","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/api/static/modules/views/rdp-control-panel.js","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/api/static/modules/views/rdp-view.js","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/api/static/modules/views/replay-view.js","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/api/static/modules/views/risk-view.js","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/api/static/modules/views/strategy-view.js","PARTIALLY REVIEWED","已检查与审计主题相关的关键区段、调用方或测试，但未逐行封板","2026-08-24"
"aats/api/ui.py","FULLY REVIEWED","本次逐段完整读取或由完整清单核对；结论仍受冻结基线约束","2026-08-24"
"aats/bootstrap/__init__.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/bootstrap/active_parameters.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/bootstrap/config.py","PARTIALLY REVIEWED","已检查与审计主题相关的关键区段、调用方或测试，但未逐行封板","2026-08-24"
"aats/bootstrap/env_profiles.py","FULLY REVIEWED","本次逐段完整读取或由完整清单核对；结论仍受冻结基线约束","2026-08-24"
"aats/bootstrap/logging.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/bootstrap/managed_profiles.py","FULLY REVIEWED","本次逐段完整读取或由完整清单核对；结论仍受冻结基线约束","2026-08-24"
"aats/bootstrap/metrics.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/bootstrap/metrics_bridge.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/bootstrap/process_lifecycle.py","FULLY REVIEWED","本次逐段完整读取或由完整清单核对；结论仍受冻结基线约束","2026-08-24"
"aats/bootstrap/settings.py","PARTIALLY REVIEWED","已检查与审计主题相关的关键区段、调用方或测试，但未逐行封板","2026-08-24"
"aats/bootstrap/settings_provenance.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/bootstrap/telemetry.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/bus/__init__.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/bus/base.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/bus/kafka_bus.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/bus/memory_bus.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/bus/nats_bus.py","PARTIALLY REVIEWED","已检查与审计主题相关的关键区段、调用方或测试，但未逐行封板","2026-08-24"
"aats/cli.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/data_platform/README.md","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/data_platform/__init__.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/data_platform/attribution/__init__.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/data_platform/attribution/aggregation.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/data_platform/attribution/alignment.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/data_platform/attribution/layer_classifier.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/data_platform/attribution/report_builder.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/data_platform/attribution/taxonomy.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/data_platform/collectors/__init__.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/data_platform/collectors/backfill/__init__.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/data_platform/collectors/backfill/candles_backfill_collector.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/data_platform/collectors/backfill/file_discovery.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/data_platform/collectors/backfill/file_parser.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/data_platform/collectors/backfill/funding_backfill_collector.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/data_platform/collectors/backfill/okx_rest_history_collectors.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/data_platform/collectors/liquidations_ws_collector.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/data_platform/collectors/microstructure_ws_collector.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/data_platform/collectors/rolling/__init__.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/data_platform/collectors/rolling/candles_api_collector.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/data_platform/collectors/rolling/funding_api_collector.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/data_platform/config.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/data_platform/db.py","FULLY REVIEWED","本次逐段完整读取或由完整清单核对；结论仍受冻结基线约束","2026-08-24"
"aats/data_platform/decision_system/__init__.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/data_platform/decision_system/active_parameter_apply.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/data_platform/decision_system/candidate_selector.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/data_platform/decision_system/decision_engine.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/data_platform/decision_system/evidence_bundle.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/data_platform/decision_system/readiness_evaluator.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/data_platform/decision_system/recommendation_registry.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/data_platform/decision_system/report_builder.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/data_platform/execution_realism/__init__.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/data_platform/execution_realism/aggregation.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/data_platform/execution_realism/execution_cost_model.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/data_platform/execution_realism/fill_feasibility.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/data_platform/execution_realism/market_alignment.py","PARTIALLY REVIEWED","已检查与审计主题相关的关键区段、调用方或测试，但未逐行封板","2026-08-24"
"aats/data_platform/execution_realism/report_builder.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/data_platform/execution_realism/slippage_estimator.py","PARTIALLY REVIEWED","已检查与审计主题相关的关键区段、调用方或测试，但未逐行封板","2026-08-24"
"aats/data_platform/gates/__init__.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/data_platform/gates/profile_gate.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/data_platform/gold/__init__.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/data_platform/gold/funding_aligner.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/data_platform/gold/replay_bar_builder.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/data_platform/governance/__init__.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/data_platform/governance/_atomic_io.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/data_platform/governance/_db_util.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/data_platform/governance/_exceptions.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/data_platform/governance/_time_util.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/data_platform/governance/active_params_db.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/data_platform/governance/artifact_index.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/data_platform/governance/artifact_indexer.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/data_platform/governance/auto_import_candidates.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/data_platform/governance/decision_rounds_db.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/data_platform/governance/manifest_validation.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/data_platform/governance/operational_state_db.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/data_platform/governance/parameter_registry.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/data_platform/governance/parameter_sets_db.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/data_platform/governance/profile_apply_saga.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/data_platform/governance/profile_streak_db.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/data_platform/governance/quality_monitor.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/data_platform/governance/rdp_runtime_status_db.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/data_platform/governance/rdp_task_db.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/data_platform/governance/recommendations_db.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/data_platform/governance/retry_logic.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/data_platform/governance/round_manager.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/data_platform/governance/round_status.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/data_platform/governance/snapshot_db.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/data_platform/governance/step2_integrity_guard.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/data_platform/governance/strategy_tuning_db.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/data_platform/governance/system_config_db.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/data_platform/jobs/__init__.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
"aats/data_platform/jobs/checkpoint_manager.py","DISCOVERED BUT NOT YET REVIEWED","已纳入 tracked 清单；本次未达到逐行审查标准，不据此作安全结论","2026-08-24"
